id,time_point,mrt
mar22_105,post,0.5
mar22_109,post,0.5
mar22_111,post,0.3973275550856261
mar22_114,post,0.8314183722357096
mar22_117,post,0.6047621373422288
mar22_120,post,0.5
mar22_123,post,0.27818706658683373
mar22_128,post,0.9972682342250296
mar22_129,post,0.5075906347295992
mar22_130,post,0.5
mar22_131,post,0.7984824865420566
mar22_137,post,0.48835362038460595
mar22_139,post,0.7774225546402737
mar22_140,post,1.0366272232420652
mar22_142,post,0.458044706919222
mar22_144,post,0.31735936821711774
mar22_145,post,0.6820388405483231
mar22_153,post,0.037204979398393276
mar22_156,post,0.7635761566616461
mar22_159,post,0.8688837051731967
mar22_162,post,0.5
mar22_166,post,0.5
mar22_179,post,0.5
mar22_181,post,0.4634897968238755
mar22_182,post,0.9047062161453081
mar22_184,post,1.6123312754829435
mar22_185,post,0.5
mar22_186,post,0.40061477678919705
mar22_187,post,0.5
mar22_193,post,0.3370816279960818
mar22_196,post,0.5
mar22_197,post,0.2901713240422255
mar22_198,post,0.19728469354205788
