id,time_point,mrt
105,pre,0.5305408022366893
109,pre,0.8729995752468623
111,pre,1.2859737451655462
115,pre,0.7743416594808816
117,pre,1.3341854043049188
120,pre,0.3221914718660706
123,pre,0.24357947551106962
128,pre,1.3009451924646704
129,pre,1.1058784801809234
130,pre,0.6762962327106472
131,pre,0.3961219468854966
137,pre,1.0378991036222036
139,pre,1.4989179726541124
140,pre,1.0863030664408526
142,pre,0.39897187478123763
144,pre,-0.6705184524834564
145,pre,0.30822454906056473
153,pre,0.9682291245437273
156,pre,1.4721002889428045
159,pre,0.8399149466416618
161,pre,0.44687391044080127
162,pre,0.09746243762946313
166,pre,0.28747378364394677
179,pre,1.286648880619001
181,pre,0.11595166427423027
182,pre,1.2574968367390476
184,pre,1.3202133892619632
185,pre,0.5816141936223767
187,pre,0.6985873891055956
190,pre,0.7110949811784415
193,pre,0.7890747082345134
196,pre,0.7586574559891944
197,pre,0.7719141780091103
198,pre,0.38484184937004373
